12
31	31	31	31	31	19	0	0	31	31	31	31	
31	31	31	31	20	0	0	0	31	31	31	31	
31	31	31	15	0	0	0	0	31	31	31	31	
29	17	4	0	3	0	0	0	31	31	31	31	
9	0	0	14	30	0	0	0	31	31	31	31	
12	14	28	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
31	31	31	31	31	0	0	0	31	31	31	31	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	
