12
31	31	31	20	7	1	0	4	15	30	31	31	
31	31	11	0	0	0	0	0	0	4	29	31	
31	16	0	0	15	31	30	12	0	0	11	31	
29	0	0	8	31	31	31	31	3	0	0	28	
17	0	0	20	31	31	31	31	31	31	31	31	
9	0	0	27	31	31	31	31	31	31	31	31	
2	0	0	31	15	3	0	3	15	30	31	31	
0	0	0	11	0	0	0	0	0	7	31	31	
0	0	0	3	25	31	24	3	0	0	16	31	
1	0	0	22	31	31	31	21	0	0	5	31	
7	0	0	31	31	31	31	31	0	0	0	31	
14	0	0	31	31	31	31	31	0	0	1	31	
25	0	0	23	31	31	31	24	0	0	8	31	
31	11	0	3	25	31	26	4	0	0	22	31	
31	29	6	0	0	0	0	0	0	15	31	31	
31	31	31	16	5	0	1	8	22	31	31	31	
